Billing Cycle,Enterprise Project,Enterprise Project ID,Account Name,Service Type Code,Service Type,Resource Type Code,Resource Type,Product ID,Billing Mode,Bill Type,Resource ID,Resource Name,Resource Tag,SKU Code,Resource Specifications,Region Code,Region,AZ,Usage Type Code,Usage Type,Unit Price (USD),Unit,Usage,Usage Unit,Package Usage,Usage Type in Reserved Instances,List Price (USD),Discount (USD),Amount (USD),Cash Payment (USD),Credit Payment (USD),Cash Coupon Used (USD),Arrears (USD),Written Off (USD)
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.cbr","Cloud Backup and Recovery","hws.resource.type.cbr.vault","Vault","00301-102373-0--0","Pay-per-Use","Expenditure-use","cceb2f14-39fe-4a5a-a239-5bf65b50c807","SHI_SBV","","vault.backup.server.normal","Cloud Server Backup Vault|1300GB","ap-southeast-2","AP-Bangkok",--,"duration","Duration","0.00005000","Dollar/1Hour","1296000","Second",--,"0","23.40000000","9.36000000","13.95","0.00","13.95","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.vpc","Virtual Private Cloud","hws.resource.type.bandwidth","Fixed Bandwidth","00301-34661-0--0","Pay-per-Use","Expenditure-use","ad3d1671-fe55-444f-a6bb-6acc30957887","","","12_bgp","Dynamic BGP|traffic","ap-southeast-2","AP-Bangkok",--,"upflow","Upstream bandwidth","0.10800000","Dollar/1GB","46885951670","Byte",--,"0","4.71591847","1.65057280","0.87","0.00","0.87","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.smn","Simple Message Notification","hws.resource.type.smn","Simple Message Notification","00301-06001-0--0","Pay-per-Use","Expenditure-use","eeda1e072dd942b6bf4568ae7f87b41b","HANA_Shared_II","",--,"SMN","ap-southeast-1","AP-Hong Kong",--,"downflow","Downstream bandwidth","0.00000000","Dollar/1GB","81288","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.ebs","Elastic Volume Service","hws.resource.type.volume","Elastic Volume Service","00301-34963-0--0","Pay-per-Use","Expenditure-use","930dcf13-8a59-4694-b181-610389de64a2","S4APP_SAPMNT","","SAS","High IO|200GB","ap-southeast-2","AP-Bangkok",--,"Duration","Duration","0.00010000","Dollar/1Hour","26889","Second",--,"0","0.15110554","0.06044223","0.07","0.00","0.07","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.ebs","Elastic Volume Service","hws.resource.type.volume","Elastic Volume Service","00301-34963-0--0","Pay-per-Use","Expenditure-use","f4d6b40b-c5cc-4892-bdcd-d9567a5bb5d6","S4APP_HANA_DATA","","SAS","High IO|50GB","ap-southeast-2","AP-Bangkok",--,"Duration","Duration","0.00010000","Dollar/1Hour","1513820","Second",--,"0","2.10252777","0.84101111","1.22","0.00","1.22","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0-ae9e","Pay-per-Use","Expenditure-use","vgm-cts-hkk","","Service:CloudTrace;",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"upload.internal","Upload_Standard Storage.Internal","0.00000000","Dollar/1GB","349001870","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.obs","Object Storage Service","hws.resource.type.obs","Cloud Storage","00301-06018-0--0-ae9e","Pay-per-Use","Expenditure-use","vgm-cts-hkk","","Service:CloudTrace;",--,"Object Storage Service","ap-southeast-1","AP-Hong Kong",--,"download.internal","Download_Standard Storage.Internal","0.00000000","Dollar/1GB","18094","Byte",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","default","0","VanguardMyanmar","hws.service.type.kms","Data Encryption Workshop","hws.resource.type.kms","Customer Master Key","00301-01005-0--1","Pay-per-Use","Expenditure-use","b0b6822b-81ff-41cf-9051-9de3455bc46e-0","","",--,"Key Management","ap-southeast-1","AP-Hong Kong",--,"reqNumber","Request number","0.00000000","Dollar/1PCS","15300","PCS",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.ces","Cloud Eye","hws.resource.type.ces.configure","Cloud Eye Configure","00301-20090-0--0","Pay-per-Use","Expenditure-use","7763ba83a0de48c5920a45fff32f78ae_dashboard_num","","","DashboardNum","Dashboard Num","ap-southeast-1","AP-Hong Kong",--,"configure.count","count","0.00000000","Dollar/1PCS","5760","PCS",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun 2020","Non-project",--,"VanguardMyanmar","hws.service.type.dns","Domain Name Service","hws.resource.type.rec","dns recordset","00301-93009-0--0","Pay-per-Use","Expenditure-use","ap-southeast-1:b438be37-1904-415e-b890-836ef8e2555d","159.138.4.105","","public","Public Rec","cn-north-1","CN North-Beijing1",--,"cnt","cnt","0.00000000","Dollar/1PCS","280","times",--,"0","0.00000000","0.00000000","0.00","0.00","0.00","0.00","0.00","0.00"
